# Travel Planner — City Route Input File
# Format: From  To  Distance_km  Cost_INR  [B = bidirectional]
# Lines starting with # are ignored

Delhi       Agra        200     150     B
Delhi       Jaipur      280     250     B
Delhi       Chandigarh  260     200     B
Agra        Jaipur      240     180     B
Agra        Mumbai      1200    900     B
Jaipur      Ahmedabad   660     500     B
Ahmedabad   Mumbai      530     400     B
Mumbai      Pune        150     120     B
Mumbai      Bengaluru   990     750     B
Pune        Bengaluru   840     630     B
Bengaluru   Chennai     350     280     B
Chennai     Hyderabad   630     480     B
Hyderabad   Bengaluru   570     430     B
Chandigarh  Amritsar    230     170     B
